s_no,tender_id,tender_id2,tender_ref,tender_title,tender_date,tender_details,tender_corrigendum
11,SECI000203,SECI-2025-TN000002,,SECI/C&amp;P/IPP/11/0024/24-25,"Friday, 09-05-2025",RfS for 500 MW ISTS-Connected Solar PV Power Projects in India (SECI-ISTS-XIX),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323033
12,SECI000210,,2025_SECI_795653_1,GEM/2025/B/6154316,"Monday, 12-05-2025","The per page basis Printing Contract for the newly purchased and SECI owned MFPs at SECI, New Delhi",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323130
13,SECI000208,SECI-2025-TN000006,,SECI/C&amp;P/MI/00/0012/2025-26,"Friday, 09-05-2025","Interior cum Fit-out Work of Corporate Office Complex of Solar Energy Corporation of India Limited (SECI) at F-200 and F-300, Tower-F, World Trade Center New Delhi, Nauroji Nagar, New Delhi- 110 029",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323038
14,SECI000207,SECI-2025-TN000005,2025_SECI_793842_1,SECI/C&amp;P/IPP/14/0026/24-25,"Wednesday, 30-04-2025",Setting up of 4.55 MW Grid-Connected Rooftop Solar PV Projects under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323037
15,SECI000205,SECI-2025-TN000004,2025_SECI_792630_1,SECI/C&amp;P/IPP/12/0028/24-25,"Friday, 11-04-2025",RfS for Setting up of 600 MW ISTS-connected Wind Power Projects in India (SECI-Tranche-XVIII),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323035
16,SECI000206,,,GEM/2025/B/6076106,"Monday, 31-03-2025","Hiring of Vehicles on Monthly basis at Solar Project of SECI in Ramagiri, Andhra Pradesh",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323036
17,SECI000191,SECI-2024-TN000048,,SECI/C&amp;P/IPP/13/0019/24-25,"Monday, 24-03-2025",RfS for 1200 MW RTC Power from ISTS-Connected RE Power Projects in India (SECI-RTC-IV),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313931
18,SECI000201,SECI-2025-TN000001,2025_SECI_786517_1,SECI/C&amp;P/IPP/14/0021/24-25,"Friday, 28-02-2025",Setting up of 1750 kW Grid-Connected Rooftop Solar PV Projects under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323031
19,SECI000202,,2025_SECI_788387_1,GEM/2025/B/5931987,"Monday, 03-03-2025","Procurement of ETAP Software License with Upgrades and Support for One Year at SECI, New Delhi Office",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323032
20,SECI000198,,2025_SECI_785502,GEM/2025/B/5799842,"Wednesday, 19-02-2025",Empanelment of Insurance Broking Firm,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313938
21,SECI000200,,2025_SECI_785509,GEM/2025/B/5824252,"Thursday, 13-02-2025","Director’s and Officer’s Liability Insurance 2025-26 of Solar Energy Corporation of India Limited, New Delhi",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030323030
22,SECI000196,SECI-2024-TN000053,,SECI/C&amp;P/IPP/15/00018/24-25,"Monday, 10-02-2025",REQUEST FOR SELECTION (RFS) DOCUMENT FOR SETTING UP OF 125 MW/ 500 MWH STANDALONE BATTERY ENERGY STORAGE SYSTEM IN KERALA WITH VGF UNDER TARIFF-BASED GLOBAL COMPETITIVE BIDDING (ESS-3),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313936
23,SECI000194,SECI-2024-TN000051,2024_SECI_780012_1,SECI/C&amp;P/IPP/11/0023/24-25,"Friday, 07-02-2025",Setting up 4.125 MW Grid-Connected Solar PV Projects in IIT Kharagpur Campus under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313934
24,SECI000199,,2025_SECI_785511,GEM/2025/B/5799258,"Wednesday, 12-02-2025","Placement of office Assets Insurance Policy covering office Building, Office Equipment’s, Furniture &amp; Fixtures etc. for SECI Assets.",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313939
25,SECI000195,SECI-2024-TN000052,2024_SECI_780038_1,SECI/C&amp;P/IPP/14/0012/24-25,"Thursday, 06-02-2025",Setting up of 2112 kW Grid-Connected Rooftop Solar PV Projects under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313935
26,SECI000197,SECI-2024-TN000054,2025_SECI_783819_1,SECI/C&amp;P/PMC/11/05/2024-25,"Thursday, 06-02-2025","10 ME FSPV at STPP, Telangana",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313937
27,SECI000181,SECI-2024-TN000040,2024_SECI_768999_1,SECI/C&amp;P/MI/00/05/2024-25,"Monday, 06-01-2025",Land Aggregator - MP,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313831
28,SECI000192,SECI-2024-TN000049,2024_SECI_778208_1,SECI/C&amp;P/EOI/17/0004/24-25,"Tuesday, 24-12-2024","Empanelment of Agencies for performing site studies for preparation of DPR (Category A, B, and C)",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313932
29,SECI000193,SECI-2024-TN000050,2024_SECI_778321_1,SECI/C&amp;P/OP/11/016/2024-25,"Thursday, 12-12-2024",Domestically Manufactured Solar PV Module Package of 400 MWp under CPSU Scheme Tranche III,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313933
30,SECI000189,SECI-2024-TN000046,2024_SECI_775377_1,SECI/C&amp;P/PMC/11/04/2024-25,"Thursday, 12-12-2024","Tender for Design, Engineering, Supply, Construction, Erection, Testing &amp; Commissioning of 5 MW(AC) grid connected saffron based Agro-Solar PV Power Plant with 10 years O&amp;M at Pampore, Pulwama, J&amp;K",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313839
31,SECI000172,SECI-2024-TN000035,,SECI/C&amp;P/MI/00/0006/2024-25,"Wednesday, 04-12-2024",RfS for Setting up Production Facilities for Green Hydrogen in India under SIGHT Scheme (Mode-1-Tranche-II),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313732
32,SECI000190,SECI-2024-TN000047,2024_SECI_775394_1,SECI/C&amp;P/MI/00/09/2024-25,"Thursday, 28-11-2024",Tender for Engagement of Agency for Public Relations (PR) and Media Management of SECI,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313930
33,SECI000185,SECI-2024-TN000042,,SECI/C&amp;P/IPP/13/0013/24-25,"Thursday, 14-11-2024",RfS for assured Peak supply of 8000 MWh (2000 MW x 4 Hrs.) from ISTS-Connected RE Projects (SECI-FDRE-VI),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313835
34,SECI000186,SECI-2024-TN000043,,SECI/C&amp;P/IPP/11/0014/24-25,"Thursday, 14-11-2024",RfS for 1000 MW ISTS-Connected Solar PV Power Projects in India (SECI-ISTS-XVIII),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313836
35,SECI000159,SECI-2024-TN000028,,SECI/C&amp;P/IPP/11/0007/24-25,"Thursday, 14-11-2024",Setting up of Grid-Connected Solar PV Projects with Battery Energy Storage System (BESS) in Lakshadweep under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313539
36,SECI000170,SECI-2024-TN000032,2024_SECI_762654_1,SECI/C&amp;P/OP/11/015/2024-25,"Thursday, 24-10-2024","Tender for Design, Engineering, Supply, Construction, Erection, Testing and Commissioning along with 10 years of O&amp;M of 7.5 MW (AC) Solar PV Power Plant at Badi Sid, Rajasthan",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313730
37,SECI000177,SECI-2024-TN000037,,SECI/C&amp;P/IPP/11/0011/24-25,"Monday, 30-09-2024",RfS for Setting up of 2000 MW ISTS-connected Solar PV Power Projects with 1000 MW/4000 MWh Energy Storage Systems (ESS) in India under Tariff-based Competitive Bidding (SECI-ISTS-XVII),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313737
38,SECI000179,SECI-2024-TN000038,,SECI/C&amp;P/IPP/11/0010/24-25,"Monday, 30-09-2024","Limited tender for setting up grid-connected SPV projects of 1998 kW at IIM Nagpur, Mihan Campus, Maharashtra under CAPEX mode",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313739
39,SECI000183,NA,2024_SECI_770821_1,GEM/2024/B/5369540,"Friday, 27-09-2024",Supply Maintenance of Plants Flowers,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313833
40,SECI000175,SECI-2024-TN000036,2024_SECI_765633_1,SECI/C&amp;P/PMC/11/03/2024-25,"Friday, 27-09-2024","Tender for Design, Engineering, Supply, Construction, Erection, Testing, Commissioning and O&amp;M of 12 MW (AC) Solar PV Power Plant System at Phey, Leh, UT of Ladakh, India",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313735
41,SECI000126,SECI-2023-TN000027,2023_SECI_735832_1,SECI/C&amp;P/IPP/13/0014/23-24,"Monday, 23-09-2024",RfS for 1000 MW Firm and Dispatchable Power from ISTS-connected RE Power Projects (SECI-FDRE-V),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313236
42,SECI000184,NA,2024_SECI_771001_1,GEM/2024/B/5377068,"Thursday, 19-09-2024",Contractual Manpower services,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313834
43,SECI000182,SECI-2024-TN000041,2024_SECI_769506_1,SECI/C&amp;P/MI/00/08/2024-25,"Wednesday, 18-09-2024",Comprehensive Architectural and Engineering Consultant,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313832
44,SECI000109,SECI-2023-TN000012,2023_SECI_718380_1,SECI/C&amp;P/IPP/13/0003/23-24,"Thursday, 12-09-2024",RfS for 500 MW Firm and Dispatchable Power from ISTS-connected Renewable Energy (RE) Power Projects (SECI-FDRE-I),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313039
45,SECI000178,,2024_SECI_766815_1,GEM/2024/B/5250344,"Monday, 26-08-2024",Tender for Supply &amp; Installation of Fire Resisting Record Cabinets (FRRC),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313738
46,SECI000171,SECI-2024-TN000034,2024_SECI_763498_1,SECI/C&amp;P/MI/00/04/2024-25,"Wednesday, 21-08-2024",Data Logger and Remote Monitoring System,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313731
47,SECI000176,,2024_SECI_765791_1,GEM/2024/B/5113524,"Tuesday, 20-08-2024","Tender for Supply &amp; installation of Desktop Computers with a 3-year comprehensive on-site warranty at SECI, New Delhi Office",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313736
48,SECI000160,SECI -2024-TN000031,,SECI/C&amp;P/IPP/15/0009/24-25,"Monday, 12-08-2024",RfS for setting up of 1000 MW/2000 MWh Standalone Battery Energy Storage Systems in India (ESS-2),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313630
49,SECI000161,SECI-2024-TN000033,,SECI/C&amp;P/IPP/13/0006/24-25,"Tuesday, 06-08-2024",RfS for Selection of Hybrid Power Developers for Setting up of 400 MW ISTS-connected Wind-Solar Hybrid Power Projects in India (SECI-Tranche-IX),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313631
50,SECI000174,,2024_SECI_764595_1,GEM/2024/B/5179316,"Friday, 09-08-2024",Tender for the Design and Development of SECI Website with Warranty and Support.,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313734
51,SECI000155,SECI-2024-TN000022,,SECI/C&amp;P/IPP/12/0002/24-25,"Monday, 05-08-2024",RfS for 500 MW ISTS-Connected Wind Power Projects in India (SECI-Tranche-XVII),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313535
52,SECI000158,,2024_SECI_759924_1,GEM/2024/B/5040970,"Wednesday, 31-07-2024",Tender for the Augmentation &amp; Comprehensive Support &amp; Maintenance of SECI IT Network Infrastructure for 3 Years.,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313538
53,SECI000173,,2024_SECI_764453_1,GEM/2024/B/5174454,"Monday, 29-07-2024","Tender for the “Hiring of Vehicles on Monthly basis at 100 MW (AC) Floating Solar PV Project of SECI at Getalsud Dam, Ranchi, Jharkhand”",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313733
54,SECI000156,SECI-2024-TN000027,2024_SECI_758986_1,SECI/C&amp;P/MI/00/0022/2024-25,"Thursday, 25-07-2024","Tender for Appointment of Agency for Comprehensive Architectural and Engineering Consultant for Interior cum Fit out work of corporate office at Nauroji Nagar, New Delhi",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313536
55,SECI000168,SECI-2024-TN000029,,SECI/C&amp;P/IPP/14/0008/24-25,"Friday, 19-07-2024",Limited tender for setting up of 2767 kW Grid-Connected Rooftop Solar PV Projects under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313638
56,SECI000154,SECI-2024-TN000021,,SECI/C&amp;P/IPP/11/0004/24-25,"Friday, 12-07-2024",RfS for Setting up of 1200 MW ISTS-connected Solar PV Power Projects in India under Tariff-based Competitive Bidding (SECI-ISTS-XVI),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313534
57,SECI000153,SECI-2024-TN000018,2024_SECI_754031,SECI/C&amp;P/OP/11/014/2024-25,"Friday, 12-07-2024","Tender for Design, Engineering, Supply, Construction, Erection, Testing, Commissioning and O&amp;M of 25 MW (AC) Solar PV Power Plant (50 MWp) with 20 MW/50 MWh Battery Energy Storage System at Taru, Leh",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313533
58,SECI000146,SECI-2023-TN000015,,SECI/C&amp;P/MI/00/0022/2023-24,"Friday, 05-07-2024",RfS for setting up Manufacturing Capacities for Electrolysers in India under SIGHT scheme (Tranche-II),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313436
59,SECI000120,SECI-2023-TN000023,,SECI/C&amp;P/IPP/13/0006/23-24,"Wednesday, 03-07-2024",RfS for 1260 MW Firm and Dispatchable Power from ISTS-connected Renewable Energy (RE) Power Projects (SECI-FDRE-IV),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313230
60,SECI000166,SECI-2024-TN000019,,SECI/C&amp;P/IPP/14/0001/24-25,"Tuesday, 02-07-2024",Limited tender for Setting up of 500 kW Grid-Connected Rooftop Solar PV Project in NDRF Academy Nagpur Campus under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313636
61,SECI000167,SECI-2024-TN000011,,SECI/C&amp;P/IPP/14/0013/23-24,"Thursday, 27-06-2024",Limited tender for Setting up of 35 MW Grid-Connected Rooftop Solar PV Projects on Govt. Buildings in the Union Territory of Puducherry under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313637
62,SECI000147,SECI-2024-TN000014,,SECI/C&amp;P/IPP/11/0023/23-24,"Tuesday, 25-06-2024",RfS for Setting up of 1200 MW ISTS-connected Solar PV Power Projects with 600 MW/1200 MWh Energy Storage Systems (ESS) in India under Tariff-based Competitive Bidding (SECI-ISTS-XV),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313437
63,SECI000169,SECI-2024-TN0000017,,SECI/C&amp;P/IPP/14/0022/23-24,"Friday, 21-06-2024",Limited tender for setting up of 63240 KW grid-connected rooftop solar PV power projects on from various Kendriya Vidyalayas (KV) and Jawahar Navodaya Vidyalayas across India under RESCO mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313639
64,SECI000164,SECI-2024-TN000020,,SECI/C&amp;P/IPP/14/0003/24-25,"Monday, 10-06-2024",Limited tender for setting up of 1448 kW Grid-Connected Rooftop Solar PV Projects under RESCO Mode through Tariff-based Competitive Bidding,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313634
65,SECI000143,SECI-2024-TN000012,2024_SECI_748937_1,SECI/C&amp;P/OP/11/013/2023-24,"Wednesday, 12-06-2024","Tender for Setting up of Grid Connected 300 MW Ground Mounted Solar PV plant at Ramagiri, Andhra Pradesh.",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313433
66,SECI000138,SECI-2024-TN000009,,SECI/C&amp;P/IPP/13/0020/23-24,"Monday, 20-05-2024",RfS for Selection of Hybrid Power Developers for Setting up of 1200 MW ISTS-connected Wind-Solar Hybrid Power Projects in India under Tariff-Based Competitive Bidding (SECI-Tranche-VIII),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313338
67,SECI000140,SECI-2024-TN000010,2024_SECI_746778_1,SECI/C&amp;P/OP/11/012/2023-24,"Friday, 10-05-2024","Tender for Manufacturing, Testing, Packing and Forwarding, Supply and Transportation of 900 MWp domestically manufactured Solar PV Modules with domestically manufactured Solar Cells.",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313430
68,SECI000152,GEM/2024/B/4878021,2024_SECI_754014_1,SECI/C&amp;P/AD/13/10/23-24/R1/GeM,"Thursday, 02-05-2024",Tender for Selection of Agency for providing Contractual Manpower Services at SECI - Category Based Bid on GeM Portal,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313532
69,SECI000150,,2024_SECI_752809_1,GEM/2024/B/484885,"Tuesday, 30-04-2024",Limited Tender for the Procurement of Government Community Cloud Services from MeitY Empanelled and STQC Audited Cloud Service Provider,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313530
70,SECI000165,SECI-2024-TN0000013,,SECI/C&amp;P/IPP/14/0022/23-24,"Friday, 19-04-2024",Limited tender to set up 11 grid-connected rooftop solar PV power projects of 1960 kW cumulative capacity on NPTI buildings across India under the RESCO mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313635
71,SECI000149,GEM/2024/B/4819352,2024_SECI_751709,SECI/C&amp;P/AD/13/0010/2023-24/R01,"Thursday, 18-04-2024",Selection of Agency for providing Contractual Manpower services at SECI,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313439
72,SECI000145,,,GEM/2024/B/4779881,"Monday, 08-04-2024","Tender for the Cyber Security Audit of IT Infrastructure of SECI, New Delhi.",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313435
73,SECI000144,,2024_SECI_749769_1,GEM/2024/B/4767269,"Tuesday, 02-04-2024","Tender for the Housekeeping, Sanitization, Electrical and Plumbing Services for SECI, New Delhi",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313434
74,SECI000162,SECI-2024-TN000003,,SECI/C&amp;P/IPP/14/0010/23-24,"Wednesday, 27-03-2024",Limited tender for Setting up of 1000 kW Grid-Connected Rooftop Solar PV Project at Sardar Vallabh Bhai National Police Academy-Hyderabad under RESCO Mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313632
75,SECI000139,SECI-2024-TN000008,2024_SECI_746739_1,SECI/C&amp;P/MI/00/0021/2023-24,"Tuesday, 19-03-2024","Tender for Engagement of Agency for Software Development, Support &amp; Maintenance at SECI",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313339
76,SECI000163,SECI-2024-TN000005,,SECI/C&amp;P/IPP/14/0011/23-24,"Tuesday, 12-03-2024",Limited tender for Setting up of 1800 kW Grid-Connected Rooftop Solar PV Projects on government buildings in Uttar Pradesh at IIM-L (Lucknow &amp; Noida campus) and BBAU- Lucknow under RESCO mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313633
77,SECI000118,SECI-2023-TN000020,,SECI/C&amp;P/IPP/13/0004/23-24,"Wednesday, 06-03-2024",RfS for 800 MW Firm and Dispatchable Power from ISTS-connected Renewable Energy (RE) Power Projects (SECI-FDRE-III),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313138
78,SECI000136,SECI-2024-TN000002,2024_SECI_742316_1,SECI/C&amp;P/IPP/11/0017/23-24,"Friday, 23-02-2024",RfS for Setting up of 1500 MW ISTS-Connected Solar PV Power Projects in India (SECI-ISTS-XIV),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313336
79,SECI000133,SECI-2023-TN000030,2023_SECI_739420_1,SECI/C&amp;P/MI/00/0019/2023-24,"Wednesday, 28-02-2024","Tender for Selection of Agency for generation forecasting and load forecasting work including coordination with BESCOM, KPTCL, DRDO/MES- 10 MW Solar PV Power Plant at DRDO Premises, Kolar, Karnataka.",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313333
80,SECI000135,SECI-2024-TN000001,2024_SECI_741755_1,SECI/C&amp;P/MI/00/0020/2023-24,"Monday, 26-02-2024",SECI Media PR Tender,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313335
81,SECI000116,SECI-2023-TN000018,,SECI/C&amp;P/IPP/13/0005/23-24,"Wednesday, 21-02-2024",RfS for 1500 MW Firm and Dispatchable Power from ISTS-connected Renewable Energy (RE) Power Projects (SECI-FDRE-II),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313136
82,SECI000134,SECI-2023-TN000031,,SECI/C&amp;P/IPP/11/0016/23-24,"Thursday, 15-02-2024",RfS for Selection of  Solar Power Developers for Setting up of 1500 MW ISTS-connected Solar PV Power Projects in India under Tariff-Based Competitive Bidding (SECI-ISTS-XIII),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313334
83,SECI000132,SECI-2023-TN000026,2023_SECI_732041_1,SECI/C&amp;P/MI/00/0017/2023-24,"Monday, 15-01-2024",Empanelment of Vendors for setting up of Rooftop and ground mounted projects (up to 5 MW) under category B (Round 2),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313332
84,SECI000128,SECI-2023-TN000029,,SECI/C&amp;P/OP/11/011/2023-24,"Tuesday, 16-01-2024","Tender for Manufacturing, Testing, Packing and Forwarding, Supply and Transportation of 400 MWp domestically manufactured Solar PV Modules with domestically manufactured Solar Cells.",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313238
85,SECI000127,SECI-2022-TN000028,,SECI/C&amp;P/IPP/12/0009/22-23,"Wednesday, 10-01-2024",RfS for Selection of Wind Power Developers for Setting up of 1350 MW ISTS-connected Wind Power Projects (SECI-Tranche-XVI),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313237
86,SECI000131,,,GEM/2023/B/4351279,"Friday, 05-01-2024",Tender for the NonComprehensive AMC of Fire Alarm System CCTV PPAS and ACS at SECI New Delhi,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313331
87,SECI000108,SECI-2023-TN000011,2023_SECI_718383_1,SECI/C&amp;P/IPP/14/0002/23-24,"Tuesday, 26-12-2023",RfS for Setting up of 15 MW of GCRT SPV Projects on Government buildings under RESCO mode,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313038
88,SECI000125,,2023_SECI_735223_1,GEM/2023/B/4240493,"Wednesday, 27-12-2023",AMC of 10 Nos of 1 MW Inverters at 10 MW Grid Connected Ground Mounted Solar PV Project,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313235
89,SECI000129,,2023_SECI_737986_1,GEM/2023/B/4345458,"Tuesday, 26-12-2023",Tender for the Renewal of 8 Nos of AutoCAD Software Subscription Licenses,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313239
90,SECI000130,,2023_SECI_737987_1,GEM/2023/B/4342230,"Tuesday, 26-12-2023",Limited Tender For Selection of Agency for repair and procurement of IGBTs and peripherals at SECIs 10 MW Solar PV Project at Badi Sid Rajasthan,https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313330
91,SECI000110,SECI-2023-TN000013,2023_SECI_718384_1,SECI/C&amp;P/MI/00/0015/2023-24,"Tuesday, 12-12-2023",RfS for setting up Manufacturing Capacities for Electrolysers in India under SIGHT scheme (Tranche-I),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313130
92,SECI000111,SECI-2023-TN000014,,SECI/C&amp;P/MI/00/0016/2023-24,"Tuesday, 12-12-2023",RfS for Setting up Production Facilities for Green Hydrogen in India under SIGHT Scheme (Mode-1-Tranche-I),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313131
93,SECI000123,SECI-2023-TN000025,,SECI/C&amp;P/IPP/13/0008/23-24,"Friday, 08-12-2023",RfS for Selection of Hybrid Power Developers for Setting up of 2000 MW ISTS-connected Wind-Solar Hybrid Power Projects in India under Tariff-Based Competitive Bidding (SECI-Tranche-VII),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313233
94,SECI000122,SECI-2023-TN000024,,SECI/C&amp;P/IPP/11/0007/23-24,"Thursday, 30-11-2023",RfS for Selection of  Solar Power Developers for Setting up of 1000 MW ISTS-connected Solar PV Power Projects in India under Tariff-Based Competitive Bidding (SECI-ISTS-XII),https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030313232
95,SECI000097,SECI-2023-TN000004,2023_SECI_703918,SECI/C&amp;P/OP/17/007/2022-23,"Monday, 04-12-2023","Request for Bids for the Design, Engineering, Supply, Construction, Erection, Testing &amp; Commissioning of 100 MW (AC) Floating Solar PV Project having 10 years plant O&amp;M at Getalsud Dam, Ranchi",https://www.seci.co.in/view/publish/tender/details?tenderid=53454349303030303937
